Metabolite,Estimate.RH,Std.err.RH,CI_lower.RH,CI_upper.RH,p_value.RH,sig.x,Estimate.RI,Std.err.RI,CI_lower.RI,CI_upper.RI,p_value.RI,sig.y,Estimate.IH,Std.err.IH,CI_lower.IH,CI_upper.IH,p_value.IH,sig
Galactosemia III,-0.141315007,0.058853561,-0.256667986,-0.025962028,0.016344561,sig,-0.099245236,0.101531179,-0.298246348,0.099755875,0.328328948,not sig,0.015403556,0.085304754,-0.151793763,0.182600875,0.856704401,not sig
gamma-Glutamyltransferase Deficiency,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
gamma-Glutamyltranspeptidase Deficiency,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
Gentamicin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Gluconeogenesis,-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
Glucose-6-phosphate Dehydrogenase Deficiency,-0.150543477,0.058954635,-0.266094562,-0.034992392,0.010663165,sig,-0.076178319,0.070354982,-0.214074084,0.061717446,0.278910179,not sig,-0.081713785,0.075454107,-0.229603834,0.066176265,0.278826148,not sig
Glucose-Alanine Cycle,-0.886308196,0.042752239,-0.970102583,-0.802513808,0,sig,-0.125043932,0.086488211,-0.294560826,0.044472961,0.148235652,not sig,-0.730102384,0.067436546,-0.862278014,-0.597926754,0,sig
GLUT-1 Deficiency Syndrome,0.385778202,0.053941802,0.28005227,0.491504134,8.57E-13,sig,-0.12268121,0.100805398,-0.320259789,0.07489737,0.223600289,not sig,0.531985186,0.082468319,0.37034728,0.693623091,1.11E-10,sig
Glutamate Metabolism,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
Glutaminolysis and Cancer,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
Glutaric Aciduria Type I,-0.604677336,0.037620585,-0.678413681,-0.53094099,0,sig,-0.219324481,0.066190127,-0.34905713,-0.089591832,0.000921187,sig,-0.335774664,0.057843133,-0.449147205,-0.222402122,6.44E-09,sig
Glutathione Metabolism,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
Glutathione Synthetase Deficiency,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
Glycerol Kinase Deficiency,-0.019566145,0.051674429,-0.120848026,0.081715736,0.704953214,not sig,-0.002444736,0.081484407,-0.162154173,0.157264701,0.97606506,not sig,-0.022162032,0.075741938,-0.17061623,0.126292166,0.769828512,not sig
Glycerol Phosphate Shuttle,-0.145690126,0.053918811,-0.251370996,-0.040009257,0.0068918,sig,0.04464518,0.08778421,-0.127411871,0.216702231,0.611047556,not sig,-0.160802401,0.080511016,-0.318603993,-0.003000809,0.045795641,sig
Glycerolipid Metabolism,-0.019566145,0.051674429,-0.120848026,0.081715736,0.704953214,not sig,-0.002444736,0.081484407,-0.162154173,0.157264701,0.97606506,not sig,-0.022162032,0.075741938,-0.17061623,0.126292166,0.769828512,not sig
Glycine and Serine Metabolism,-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
Glycine N-Methyltransferase Deficiency,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Glycogen Storage Disease Type 1A ,-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
Glycogen Synthetase Deficiency,0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
"Glycogenosis, Type IA. Von Gierke Disease",-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
"Glycogenosis, Type IB",-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
"Glycogenosis, Type IC",-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
"Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis",0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
"Glycogenosis, Type IV. Amylopectinosis, Anderson Disease",0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
"Glycogenosis, Type VI. Hers Disease",0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
"Glycogenosis, Type VII. Tarui Disease",-0.2809441,0.046866701,-0.372802835,-0.189085366,2.04E-09,sig,-0.02996346,0.068714353,-0.164643591,0.104716671,0.662794466,not sig,-0.23835326,0.065131831,-0.36601165,-0.110694871,0.000252658,sig
Glycolysis,-0.2809441,0.046866701,-0.372802835,-0.189085366,2.04E-09,sig,-0.02996346,0.068714353,-0.164643591,0.104716671,0.662794466,not sig,-0.23835326,0.065131831,-0.36601165,-0.110694871,0.000252658,sig
Gout or Kelley-Seegmiller Syndrome,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Guanidinoacetate Methyltransferase Deficiency ,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Hawkinsinuria,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
Hereditary Coproporphyria ,-0.662278551,0.039706138,-0.740102581,-0.58445452,0,sig,-0.231926361,0.08124101,-0.391158739,-0.072693982,0.004306473,sig,-0.371828452,0.069062934,-0.507191802,-0.236465103,7.29E-08,sig
Histidine Metabolism,-0.774335253,0.041047268,-0.854787898,-0.693882607,0,sig,-0.267048169,0.070909929,-0.406031631,-0.128064708,0.000165871,sig,-0.443257705,0.060401498,-0.561644641,-0.324870768,2.16E-13,sig
Histidinemia,-0.774335253,0.041047268,-0.854787898,-0.693882607,0,sig,-0.267048169,0.070909929,-0.406031631,-0.128064708,0.000165871,sig,-0.443257705,0.060401498,-0.561644641,-0.324870768,2.16E-13,sig
Homocarnosinosis,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
"Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type",-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
"Hyperglycinemia, Non-Ketotic",-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
Hyperinsulinism-Hyperammonemia Syndrome,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
"Hyperlysinemia I, Familial",-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
Hyperlysinemia II or Saccharopinuria,-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
Hypermethioninemia,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Hyperornithinemia with Gyrate Atrophy ,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Hyperprolinemia Type I,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Hyperprolinemia Type II,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Hypoacetylaspartia,-0.032833459,0.046563584,-0.124098085,0.058431166,0.480728281,not sig,0.053382106,0.065184302,-0.074379127,0.181143338,0.412820006,not sig,-0.122009556,0.064311636,-0.248060363,0.004041252,0.057806636,not sig
Ibuprofen Action Pathway,0.170142462,0.045843995,0.080288232,0.259996693,0.000206168,sig,-0.023980076,0.072090305,-0.165277074,0.117316922,0.739406501,not sig,0.198589998,0.061193028,0.078651663,0.318528333,0.001173252,sig
ID,-162.0349817,5.135815721,-172.1011805,-151.9687829,0,sig,-133.0518545,5.499404772,-143.8306879,-122.2730212,0,sig,66.39631176,3.492012105,59.55196804,73.24065549,0,sig
Imipramine Action Pathway,-0.383353806,0.060399722,-0.50173726,-0.264970351,2.20E-10,sig,-0.040906395,0.096166032,-0.229391817,0.147579027,0.670565077,not sig,-0.241867113,0.08324509,-0.405027491,-0.078706736,0.003666879,sig
Indomethacin Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Isobutyryl-CoA Dehydrogenase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Isovaleric Acidemia,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Isovaleric Aciduria,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Josamycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Kanamycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Ketoprofen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Ketorolac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
L-Arginine:Glycine Amidinotransferase Deficiency,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Lactic Acidemia,-0.203941781,0.039373404,-0.281113652,-0.12676991,2.22E-07,sig,0.128053267,0.065512894,-0.000352006,0.25645854,0.050627122,not sig,-0.369912843,0.057676179,-0.482958154,-0.256867533,1.42E-10,sig
Lactose Synthesis,0.385778202,0.053941802,0.28005227,0.491504134,8.57E-13,sig,-0.12268121,0.100805398,-0.320259789,0.07489737,0.223600289,not sig,0.531985186,0.082468319,0.37034728,0.693623091,1.11E-10,sig
Leigh Syndrome,-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Lesch-Nyhan Syndrome ,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Leukotriene C4 Synthesis Deficiency,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Lincomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Lornoxicam Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Lumiracoxib Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Lymecycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Lysine Degradation,-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
Magnesium Salicylate Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Malate-Aspartate Shuttle,-0.31733734,0.055232378,-0.425592802,-0.209081879,9.17E-09,sig,-0.132047275,0.088235605,-0.30498906,0.04089451,0.134515462,not sig,-0.147529935,0.077187262,-0.298816967,0.003757098,0.055962842,not sig
Malonic Aciduria,-0.463564657,0.04594104,-0.553609096,-0.373520218,0,sig,-0.332959411,0.063726469,-0.45786329,-0.208055533,1.74E-07,sig,-0.161966141,0.064781207,-0.288937307,-0.034994975,0.012412231,sig
Malonyl-CoA Decarboxylase Deficiency,-0.463564657,0.04594104,-0.553609096,-0.373520218,0,sig,-0.332959411,0.063726469,-0.45786329,-0.208055533,1.74E-07,sig,-0.161966141,0.064781207,-0.288937307,-0.034994975,0.012412231,sig
Maple Syrup Urine Disease,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Mefenamic Acid Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Meloxicam Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Mercaptopurine Action Pathway,-0.105006683,0.033994504,-0.171635912,-0.038377455,0.00200878,sig,0.238195921,0.046633275,0.146794701,0.329597141,3.26E-07,sig,-0.313001314,0.043866106,-0.39897888,-0.227023747,9.65E-13,sig
Mercaptopurine Metabolism Pathway,-0.774335253,0.041047268,-0.854787898,-0.693882607,0,sig,-0.267048169,0.070909929,-0.406031631,-0.128064708,0.000165871,sig,-0.443257705,0.060401498,-0.561644641,-0.324870768,2.16E-13,sig
Methacycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Methadone Action Pathway,-0.383353806,0.060399722,-0.50173726,-0.264970351,2.20E-10,sig,-0.040906395,0.096166032,-0.229391817,0.147579027,0.670565077,not sig,-0.241867113,0.08324509,-0.405027491,-0.078706736,0.003666879,sig
Methionine Adenosyltransferase Deficiency,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Methionine Metabolism,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Methotrexate Action Pathway,-0.281146279,0.062003781,-0.402673689,-0.159618869,5.78E-06,sig,0.086916504,0.1003408,-0.109751463,0.283584471,0.386373372,not sig,-0.273067417,0.090885772,-0.45120353,-0.094931303,0.00266007,sig
Methylenetetrahydrofolate Reductase Deficiency ,-0.149075316,0.036659926,-0.220928771,-0.077221861,4.77E-05,sig,0.023654846,0.052131885,-0.078523649,0.12583334,0.650008734,not sig,-0.142166802,0.050731242,-0.241600035,-0.042733568,0.005073147,sig
Methylmalonate Semialdehyde Dehydrogenase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Methylmalonic Aciduria,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Methylmalonic Aciduria Due to Cobalamin-Related Disorders,-0.463564657,0.04594104,-0.553609096,-0.373520218,0,sig,-0.332959411,0.063726469,-0.45786329,-0.208055533,1.74E-07,sig,-0.161966141,0.064781207,-0.288937307,-0.034994975,0.012412231,sig
Minocycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Mitochondrial Complex II Deficiency,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
Mitochondrial DNA Depletion Syndrome,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Mitochondrial Electron Transport Chain,-0.029906812,0.052909898,-0.133610212,0.073796588,0.571910258,not sig,-0.006599021,0.07140227,-0.146547471,0.133349428,0.926364087,not sig,-0.02693267,0.069292688,-0.162746339,0.108881,0.697513012,not sig
MNGIE ,-0.073569747,0.038852038,-0.149719742,0.002580248,0.058279741,not sig,-0.035615563,0.060324262,-0.153851116,0.082619989,0.554921186,not sig,-0.034932762,0.054797091,-0.142335059,0.072469536,0.523803768,not sig
Molybdenum Cofactor Deficiency,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Monoamine Oxidase-A Deficiency ,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
Morphine Action Pathway,-0.033464394,0.06764575,-0.166050063,0.099121276,0.620811471,not sig,0.015618911,0.099503423,-0.179407797,0.21064562,0.875269609,not sig,0.059040651,0.093505876,-0.124230866,0.242312167,0.52777174,not sig
Mucopolysaccharidosis VII. Sly Syndrome,0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
Myoadenylate Deaminase Deficiency,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Nabumetone Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Naproxen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Neomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Nepafenac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Netilmicin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Nicotinate and Nicotinamide Metabolism,-0.777002301,0.035586994,-0.846752809,-0.707251793,0,sig,-0.211163906,0.071545349,-0.35139279,-0.070935022,0.003162659,sig,-0.484554753,0.0631403,-0.608309741,-0.360799766,1.67E-14,sig
Nicotine Action Pathway,-0.307673645,0.059204592,-0.423714646,-0.191632645,2.03E-07,sig,-0.050976685,0.093631102,-0.234493646,0.132540276,0.586137495,not sig,-0.147855456,0.084527861,-0.313530063,0.017819151,0.08025784,not sig
Non-Ketotic Hyperglycinemia,-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
Nucleotide Sugars Metabolism,-0.141315007,0.058853561,-0.256667986,-0.025962028,0.016344561,sig,-0.099245236,0.101531179,-0.298246348,0.099755875,0.328328948,not sig,0.015403556,0.085304754,-0.151793763,0.182600875,0.856704401,not sig
Ornithine Aminotransferase Deficiency ,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Ornithine Transcarbamylase Deficiency ,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Oxaprozin Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Oxytetracycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Pantothenate and CoA Biosynthesis,-0.154375683,0.058621267,-0.269273367,-0.039478,0.008452437,sig,0.03505884,0.092192073,-0.145637624,0.215755303,0.703737274,not sig,-0.175374805,0.079700068,-0.331586938,-0.019162673,0.027776059,sig
Paromomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Pentose Phosphate Pathway,-0.150543477,0.058954635,-0.266094562,-0.034992392,0.010663165,sig,-0.076178319,0.070354982,-0.214074084,0.061717446,0.278910179,not sig,-0.081713785,0.075454107,-0.229603834,0.066176265,0.278826148,not sig
Phenylalanine and Tyrosine Metabolism,-0.44854511,0.052589275,-0.55162009,-0.345470131,0,sig,-0.038513116,0.075660668,-0.186808026,0.109781793,0.610735211,not sig,-0.434353235,0.069479057,-0.570532187,-0.298174284,4.06E-10,sig
