Metabolite,Coef_RA_HC,PValue_RA_HC,CI_Lower_RA_HC,CI_Upper_RA_HC,Coef_RA_atRisk,PValue_RA_atRisk,CI_Lower_RA_atRisk,CI_Upper_RA_atRisk,Coef_HC_atRisk,PValue_HC_atRisk,CI_Lower_HC_atRisk,CI_Upper_HC_atRisk
Indoleacetic acid,0.394220693,0.001452252,0.152815987,0.635625399,0.432634318,0.005309142,0.129603329,0.735665306,-0.027050066,0.881030108,-0.383550452,0.32945032
Glucosamine,0.405221905,0.000730853,0.171554811,0.638889,0.171230127,0.277876091,-0.138846554,0.481306808,-0.1738006,0.318846112,-0.51714994,0.16954874
L-Tyrosine,0.127923511,0.30551839,-0.117329109,0.373176131,0.058873423,0.723046206,-0.267891497,0.385638342,-0.15747212,0.332945668,-0.47779439,0.16285015
N8-Acetylspermidine,0.328181737,0.008709988,0.083593605,0.57276987,0.120905625,0.43578265,-0.184108582,0.425919832,-0.299569321,0.088576791,-0.644891093,0.045752451
L-Acetylcarnitine,-0.1503351,0.244292834,-0.403920949,0.103250749,-0.052106984,0.756166403,-0.382186342,0.277972374,-0.003620712,0.981056929,-0.304412633,0.297171209
L-Tryptophan,0.207577354,0.091571605,-0.033761337,0.448916046,0.028881731,0.851665677,-0.27494963,0.332713091,-0.236215882,0.20429564,-0.602289776,0.129858013
Indolelactic acid,0.383451441,0.001519374,0.147654923,0.619247959,0.246598256,0.106057692,-0.05281052,0.546007031,-0.159356326,0.381661277,-0.51820605,0.199493399
L-Kynurenine,0.259621968,0.035314245,0.01797528,0.501268657,0.115826622,0.449452084,-0.185272844,0.416926088,-0.189644798,0.303064104,-0.552230618,0.172941023
3-hydroxy-L-kynurenin,0.11002359,0.357503001,-0.124915619,0.344962799,-0.167065326,0.299813278,-0.483715469,0.149584817,-0.268704159,0.121381681,-0.609515741,0.072107423
Melatonin,0.300074427,0.0128838,0.064044582,0.536104272,0.134239651,0.387222179,-0.170951196,0.439430497,-0.167210844,0.345609111,-0.516407563,0.181985876
L-Cystine,-0.41053986,0.00072355,-0.647076506,-0.174003214,0.331250443,0.018035877,0.057179201,0.605321685,0.703813746,0.000413608,0.318778197,1.088849295
Cytidine,-0.115795341,0.34955323,-0.359003405,0.127412724,-0.432862273,0.005273849,-0.735814638,-0.129909907,-0.386438741,0.027793669,-0.730111612,-0.042765869
N1-Acetylspermine,-0.088474768,0.463476485,-0.325648725,0.148699189,-0.1062161,0.495253446,-0.412467006,0.200034805,-0.029895375,0.865097502,-0.376985194,0.317194445
Uridine,-0.002514803,0.983832845,-0.246522718,0.241493113,0.100410786,0.515897774,-0.203505789,0.404327361,0.044322741,0.802184231,-0.304625012,0.393270493
Adenosine,0.116991234,0.352139433,-0.130053243,0.364035711,-0.116727872,0.454987761,-0.423912135,0.190456392,-0.234514933,0.152887662,-0.557040293,0.088010428
Inosine,0.021595823,0.858103869,-0.215892593,0.259084239,0.741987765,6.48E-06,0.424649599,1.059325931,0.690905082,2.32E-05,0.378408947,1.003401218
2'-O-Methyladenosine,-0.086596527,0.461841272,-0.317887995,0.144694941,-0.522314404,0.000666174,-0.820894065,-0.223734742,-0.479184137,0.006047877,-0.819200689,-0.139167585
Guanosine monophosphate,0.510273809,9.72E-06,0.287099181,0.733448438,0.838828227,2.30E-08,0.552315493,1.125340962,0.338766986,0.060127152,-0.014616562,0.692150535
S-Adenosylmethionine,-1.467980804,4.68E-60,-1.607437418,-1.328524191,-1.766233708,4.15E-52,-1.946612239,-1.585855176,-0.283858232,0.014387468,-0.510364297,-0.057352166
Alpha-Tocopherol,-0.587918807,7.92E-07,-0.817366297,-0.358471316,0.438158341,0.003896763,0.141917704,0.734398978,0.953991218,3.93E-08,0.628487208,1.279495228
Bilirubin,-1.336566758,2.85E-38,-1.512466293,-1.160667224,0.118271692,0.366480356,-0.139160299,0.375703684,1.437950688,5.61E-25,1.210080449,1.665820926
Acetamidopropanal,0.12459041,0.31712878,-0.120083082,0.369263902,0.080653188,0.613112205,-0.233056287,0.394362662,-0.107911173,0.544128436,-0.458610847,0.242788501
1-methyladenosine,-0.206737582,0.103307175,-0.455717669,0.042242505,-0.618294584,7.33E-07,-0.85813317,-0.378455997,-0.461257767,0.029695628,-0.876465629,-0.046049905
Serotonin,0.330942638,0.003631724,0.108777811,0.553107465,-0.020417963,0.894800767,-0.324169915,0.283333989,-0.42141512,0.03139419,-0.804712361,-0.038117879
Xanthurenic acid,0.301957888,0.012920299,0.064349413,0.539566364,0.231426994,0.130885331,-0.069289988,0.532143976,-0.092840009,0.622084865,-0.464227181,0.278547163
4-Trimethylammoniobutanoic acid,0.120835288,0.320667546,-0.11820828,0.359878857,0.113830926,0.475813067,-0.200058944,0.427720797,-0.046031612,0.797636867,-0.400113119,0.308049895
Epinephrine,0.481581859,5.49E-05,0.249972781,0.713190937,0.343338852,0.026827946,0.039706531,0.646971172,-0.194394217,0.283132169,-0.55096919,0.162180756
Indolepyruvate,0.291297299,0.0169774,0.052499478,0.53009512,0.014572759,0.927081508,-0.29867314,0.327818658,-0.311351952,0.073270402,-0.652409665,0.02970576
1-Methylguanosine,0.399689765,0.001055143,0.161877312,0.637502218,0.169755026,0.255914792,-0.123819766,0.463329818,-0.296879726,0.113106129,-0.664950281,0.071190828
Normetanephrine,0.075994621,0.534764196,-0.164636487,0.316625728,-0.050695086,0.753559209,-0.368320526,0.266930354,-0.155559644,0.369196419,-0.496809536,0.185690247
Carnosine,0.302590912,0.011867288,0.067362809,0.537819015,0.147229275,0.342613827,-0.157698592,0.452157142,-0.112807972,0.541744833,-0.477259241,0.251643297
