Metabolite,Estimate-RH,Estimate-RI,Estimate-IH,p_value-RH,p_value-RI,p_value-IH,CI_lower-RH,CI_lower-RI,CI_lower-IH,CI_upper-RH,CI_upper-RI,CI_upper-IH
Kynurenine,0.192374454,0.07920629,0.168275368,0.037695885,0.480845177,0.222426879,0.01093683,-0.14101597,-0.102046456,0.373812078,0.299428551,0.438597191
3-Hydroxy-kynurenin,0.157689378,-0.251194816,0.457532424,0.390446738,0.351367409,0.117927975,-0.202194749,-0.779492464,-0.116018149,0.517573505,0.277102833,1.031082998
Melatonin,0.42484843,0.187225751,0.234144458,0.021276174,0.451171186,0.390187248,0.063282747,-0.299808151,-0.299935576,0.786414113,0.674259652,0.768224491
Cystine,-0.333612329,0.267354425,-0.581659753,0.001661988,0.019222107,3.16E-05,-0.541536388,0.043530866,-0.85561285,-0.125688269,0.491177984,-0.307706655
Cytidine,-0.098336688,-0.376742064,0.363412931,0.343691117,0.001196168,0.010452777,-0.301885595,-0.604662373,0.085227032,0.105212218,-0.148821756,0.641598831
N1-Acetylspermine,-0.115064216,-0.19308488,0.093827082,0.526113362,0.415998601,0.721284069,-0.470811219,-0.658359473,-0.42167282,0.240682788,0.272189713,0.609326983
Uridine,-0.005062076,0.070057007,-0.01491988,0.958288127,0.540613932,0.91451698,-0.194761999,-0.154350786,-0.287345663,0.184637846,0.2944648,0.257505904
Adenosine,0.146738732,-0.21964016,0.428555356,0.451504182,0.309259114,0.085887903,-0.235256502,-0.643031273,-0.060509347,0.528733966,0.203750954,0.91762006
Inosine,0.040041087,0.900829942,-0.796415451,0.762496914,4.16E-07,1.15E-05,-0.219653203,0.551984055,-1.152263201,0.299735377,1.249675829,-0.440567701
6-Methyladenosine,-0.134117031,-0.717363026,0.634920982,0.402646362,0.000739531,0.006622341,-0.44821433,-1.134028133,0.176606004,0.179980268,-0.300697918,1.09323596
Guanosine monophosphate,1.021217988,1.699266937,-0.782235205,6.42E-06,1.64E-08,0.02430091,0.577599791,1.109419226,-1.462941602,1.464836185,2.289114647,-0.101528807
S-Adenosylmethionine,-2.65967595,-3.165267317,0.47153777,0,0,0.02197185,-2.920880768,-3.521145598,0.068101337,-2.398471133,-2.809389036,0.874974204
Alpha-Tocopherol,-0.501043145,0.365097069,-0.804645435,2.39E-07,0.003200403,1.85E-08,-0.69114006,0.122343366,-1.085001691,-0.310946229,0.607850773,-0.52428918
Bilirubin,-2.318669092,0.179209478,-2.466637676,0,0.414150965,0,-2.57467586,-0.25092277,-2.899761935,-2.062662324,0.609341726,-2.033513416
1-Methyladenosine,-0.214069106,-0.65507702,0.50950355,0.185227112,2.73E-09,0.007633428,-0.530770146,-0.870963288,0.135187048,0.102631933,-0.439190752,0.883820052
Serotonin,0.292449079,-0.019096509,0.349284296,0.004787421,0.908792286,0.060550602,0.089258651,-0.345811751,-0.015491261,0.495639508,0.307618733,0.714059854
Xanthurenic acid,0.241996642,0.169485095,0.105372836,0.014017311,0.17571892,0.483701779,0.048936702,-0.075845305,-0.189518952,0.435056582,0.414815495,0.400264623
4-Trimethylammoniobutanoic acid,0.093923297,0.079984863,0.042458517,0.334801627,0.54566503,0.784707353,-0.096944581,-0.179453262,-0.262160124,0.284791174,0.339422988,0.347077158
Epinephrine,0.410593081,0.276803562,0.170134243,4.76E-05,0.061962352,0.309643619,0.212723704,-0.013856001,-0.15808714,0.608462458,0.567463124,0.498355626
Indolepyruvate,0.519741388,0.076851226,0.470800076,0.026007214,0.808919153,0.187741126,0.062128846,-0.546041878,-0.22970437,0.977353929,0.69974433,1.171304521
1-Methylguanosine,0.339608797,0.14449928,0.257138155,0.00161131,0.274241535,0.116960851,0.128554716,-0.114538907,-0.064354557,0.550662879,0.403537468,0.578630867
Normetanephrine,0.127669249,-0.078770605,0.372067131,0.568243209,0.794606841,0.266412499,-0.310840866,-0.671819993,-0.284111036,0.566179364,0.514278782,1.028245297
