"Metabolite","Coef_RA_HC","PValue_RA_HC","CI_Lower_RA_HC","CI_Upper_RA_HC","Coef_RA_atRisk","PValue_RA_atRisk","CI_Lower_RA_atRisk","CI_Upper_RA_atRisk","Coef_HC_atRisk","PValue_HC_atRisk","CI_Lower_HC_atRisk","CI_Upper_HC_atRisk","RA_HC.color_ra","PRA_HC.color_ra","RA_PRA.color_ra"
"Cystinosis, Ocular Nonnephropathic",-0.648183228456036,1.15093298343467e-41,-0.728646103539098,-0.567720353372974,-0.15188201728572,0.00998834274506333,-0.267121343649892,-0.0366426909215489,0.509237825472755,1.27493996582857e-16,0.40137228546597,0.61710336547954,"negative","negative","negative"
"D-Glyceric Acidura",-0.00475568715682979,0.916974770080633,-0.0944524454917242,0.0849410711780646,-0.0872859734311423,0.153030025775695,-0.207219014568239,0.0326470677059548,-0.0540044753863623,0.413587916916845,-0.184150997329432,0.0761420465567075,"no","no","no"
"De Novo Triacylglycerol Biosynthesis",-0.165096592653815,0.00252741808549961,-0.271775568670432,-0.0584176166371972,0.0286559188732661,0.690217336037825,-0.112762150740097,0.17007398848663,0.207556319671286,0.00665815830772987,0.0585161062557698,0.356596533086803,"negative","negative","no"
"De Novo Triacylglycerol Biosynthesis TG",-0.165096592653815,0.00252741808549961,-0.271775568670432,-0.0584176166371972,0.0286559188732661,0.690217336037825,-0.112762150740097,0.17007398848663,0.207556319671286,0.00665815830772987,0.0585161062557698,0.356596533086803,"negative","negative","no"
"Demeclocycline Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Desipramine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Desmosterolosis",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Dezocine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Dibucaine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Diclofenac Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Diflunisal Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Dihydromorphine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Dihydropyrimidinase Deficiency",-0.201664344141794,6.41701068234481e-09,-0.268076385489351,-0.135252302794238,-0.238361677290802,4.67245188355955e-08,-0.321743906122532,-0.154979448459072,-0.0443083534282575,0.39930874938211,-0.147880580722982,0.0592638738664673,"negative","no","negative"
"Dihydropyrimidine Dehydrogenase Deficiency ",-0.268858752062275,1.55604190596487e-19,-0.32344167948569,-0.214275824638859,-0.085160054872912,0.0229699461040202,-0.158467937938359,-0.0118521718074652,0.174954878047603,2.10183473383534e-06,0.104900070575799,0.245009685519407,"negative","negative","no"
"Dimethylglycine Dehydrogenase Deficiency",-0.059936155053689,5.37609373285108e-11,-0.0772672947386888,-0.0426050153686892,-0.0152421992275779,0.190213718798996,-0.0380944576061197,0.00761005915096382,0.0412865911671709,0.000264565156980906,0.0194519774357709,0.063121204898571,"negative","negative","no"
"Dimethylthiambutene Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Diphenoxylate Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Disulfiram Action Pathway",-0.264572906615375,8.14545101145043e-14,-0.33105686365153,-0.19808894957922,-0.119640893118209,0.0085372449427528,-0.208536011600372,-0.0307457746360454,0.157822108304568,4.62185560550572e-05,0.0835035499000982,0.232140666709038,"negative","negative","negative"
"Dopamine Activation of Neurological Reward System",-0.141034808252332,0.0217441673972772,-0.261349143656054,-0.0207204728486099,-0.242484134574989,0.00222611894068038,-0.397062295559862,-0.0879059735901155,-0.0942680117235134,0.286648600763534,-0.268454522332616,0.0799184988855888,"no","no","negative"
"Dopamine beta-Hydroxylase Deficiency",-0.285219146429297,7.36240681116153e-15,-0.353757427075244,-0.21668086578335,-0.130518382453477,0.00611281204880486,-0.223493782072385,-0.0375429828345685,0.169822622198391,3.26080998186047e-05,0.0914898335889484,0.248155410807834,"negative","negative","negative"
"Doxycycline Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Erythromycin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Escitalopram Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Estrone Metabolism",-0.711315894096129,2.09536352580469e-45,-0.794443415842211,-0.628188372350047,-0.497924733914213,2.49652784448952e-15,-0.614340904632941,-0.381508563195486,0.216558673909557,0.000197550009053811,0.104423377109016,0.328693970710098,"negative","negative","negative"
"Ethanol Degradation",-0.417433685688119,2.03599691146647e-12,-0.529431007344168,-0.30543636403207,-0.149244911376291,0.0560442016251673,-0.302366575655754,0.00387675290317172,0.25473015865044,0.00257979135734199,0.090518280516366,0.418942036784514,"negative","negative","no"
"Ethylmalonic Encephalopathy",-0.260250967640514,7.50457059709329e-08,-0.353129164783101,-0.167372770497926,-0.114634139474432,0.0846374134099985,-0.245037541285108,0.0157692623362431,0.133049977884619,0.0586362249135896,-0.00491991325843341,0.271019869027671,"negative","no","no"
"Ethylmorphine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Etodolac Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Etoposide Action Pathway",-0.37795968499118,1.08468358297341e-10,-0.48916504783422,-0.26675432214814,-0.377739376166937,7.84300451713364e-07,-0.524679143144411,-0.230799609189463,-0.0118277077903479,0.891629359839273,-0.183064639415899,0.159409223835203,"negative","no","negative"
"Etoposide Metabolism Pathway",-0.37795968499118,1.08468358297341e-10,-0.48916504783422,-0.26675432214814,-0.377739376166937,7.84300451713364e-07,-0.524679143144411,-0.230799609189463,-0.0118277077903479,0.891629359839273,-0.183064639415899,0.159409223835203,"negative","no","negative"
"Etoricoxib Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Excitatory Neural Signalling Through 5-HTR 4 and Serotonin",-0.00279050648696075,0.959064692620336,-0.109685370416647,0.104104357442725,-0.29706606984093,0.000102096703307427,-0.445293950614356,-0.148838189067503,-0.311509926882126,0.000669953901376196,-0.488691184380836,-0.134328669383416,"no","positive","negative"
"Excitatory Neural Signalling Through 5-HTR 6 and Serotonin",-0.00279050648696075,0.959064692620336,-0.109685370416647,0.104104357442725,-0.29706606984093,0.000102096703307427,-0.445293950614356,-0.148838189067503,-0.311509926882126,0.000669953901376196,-0.488691184380836,-0.134328669383416,"no","positive","negative"
"Excitatory Neural Signalling Through 5-HTR 7 and Serotonin",-0.00279050648696075,0.959064692620336,-0.109685370416647,0.104104357442725,-0.29706606984093,0.000102096703307427,-0.445293950614356,-0.148838189067503,-0.311509926882126,0.000669953901376196,-0.488691184380836,-0.134328669383416,"no","positive","negative"
"Fabry Disease",0.116922901945543,0.0317547904360174,0.0102776092821764,0.22356819460891,-0.271607706826322,0.00024487512935041,-0.415416967218206,-0.127798446434438,-0.397932524248507,7.6463545094452e-07,-0.550294121354985,-0.245570927142029,"no","positive","negative"
"Familial Hypercholanemia ",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"Familial Lipoprotein Lipase Deficiency",-0.00475568715682979,0.916974770080633,-0.0944524454917242,0.0849410711780646,-0.0872859734311423,0.153030025775695,-0.207219014568239,0.0326470677059548,-0.0540044753863623,0.413587916916845,-0.184150997329432,0.0761420465567075,"no","no","no"
"Fanconi-Bickel Syndrome",-0.315212581075567,3.84684980215976e-12,-0.400962233135364,-0.229462929015769,-0.148842810706486,0.00917591483915739,-0.260494334232225,-0.0371912871807475,0.182282779930143,0.00388361326610506,0.0594784407969867,0.305087119063299,"negative","negative","negative"
"Fatty Acid Biosynthesis",0.158134659842569,0.00920877275916619,0.0394087902864896,0.276860529398648,0.169595354535471,0.0325938731985602,0.0141620343914714,0.32502867467947,-0.0190746110519624,0.817681176148222,-0.182273276765567,0.144124054661643,"positive","no","no"
"Fatty Acid Metabolism",-0.260250967640514,7.50457059709329e-08,-0.353129164783101,-0.167372770497926,-0.114634139474432,0.0846374134099985,-0.245037541285108,0.0157692623362431,0.133049977884619,0.0586362249135896,-0.00491991325843341,0.271019869027671,"negative","no","no"
"Fenoprofen Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Fentanyl Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Fluoxetine Action Pathway",-0.289418481004223,5.72127366110328e-07,-0.400884260933194,-0.177952701075252,-0.212279144544385,0.00538940327791996,-0.361230111825127,-0.0633281772636427,0.0773833403283189,0.324320925163205,-0.077235373091814,0.232002053748452,"negative","no","negative"
"Flurbiprofen Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Fluvastatin Action Pathway",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Folate Malabsorption, Hereditary",-0.189719059046163,0.000637256380732992,-0.297894386520203,-0.0815437315721217,-0.123961687438402,0.0944385273083923,-0.269381086285571,0.0214577114087668,0.0832968557816022,0.314473474886005,-0.0797740133845145,0.246367724947719,"negative","no","no"
"Folate Metabolism",-0.189719059046163,0.000637256380732992,-0.297894386520203,-0.0815437315721217,-0.123961687438402,0.0944385273083923,-0.269381086285571,0.0214577114087668,0.0832968557816022,0.314473474886005,-0.0797740133845145,0.246367724947719,"negative","no","no"
"Fructose-1,6-diphosphatase Deficiency",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Fructose and Mannose Degradation",-0.260838049155994,1.98017011022688e-08,-0.349835017792753,-0.171841080519235,-0.314167972183383,1.31708388109354e-07,-0.428184353287772,-0.200151591078995,-0.0261532887220116,0.696726411298248,-0.158484379803971,0.106177802359948,"negative","no","negative"
"Fructose Intolerance, Hereditary",-0.260838049155994,1.98017011022688e-08,-0.349835017792753,-0.171841080519235,-0.314167972183383,1.31708388109354e-07,-0.428184353287772,-0.200151591078995,-0.0261532887220116,0.696726411298248,-0.158484379803971,0.106177802359948,"negative","no","negative"
"Fructosuria",-0.260838049155994,1.98017011022688e-08,-0.349835017792753,-0.171841080519235,-0.314167972183383,1.31708388109354e-07,-0.428184353287772,-0.200151591078995,-0.0261532887220116,0.696726411298248,-0.158484379803971,0.106177802359948,"negative","no","negative"
"Fumarase Deficiency",-0.180772782799269,4.03200419098862e-06,-0.256532331476725,-0.105013234121814,-0.0784569223215231,0.112804422418315,-0.175554585287608,0.018640740644562,0.103985623474905,0.0489016635272654,0.000507182032320322,0.207464064917491,"negative","no","no"
"G",-0.109541315031701,0.00301671408032004,-0.181630811862178,-0.0374518182012248,-0.0732199142792971,0.105603158952855,-0.162004019164986,0.0155641906063914,0.0391412968831269,0.487434028051727,-0.0719561529470854,0.150238746713339,"negative","no","no"
"GABA-Transaminase Deficiency",-0.489188893230055,6.79047445290677e-37,-0.555189121086438,-0.423188665373672,-0.187178654061121,5.19235779123498e-05,-0.276743301827668,-0.0976140062945739,0.324762160263937,5.28800235203647e-10,0.228140186298039,0.421384134229835,"negative","negative","negative"
"Galactose Metabolism",0.128633209038475,0.00200133763482812,0.0474269535494877,0.209839464527462,-0.259275307379221,3.09481684807553e-06,-0.366349694749148,-0.152200920009294,-0.368899720452435,1.36044634474028e-08,-0.490253338250267,-0.247546102654603,"positive","positive","negative"
"Galactosemia",0.128633209038475,0.00200133763482812,0.0474269535494877,0.209839464527462,-0.259275307379221,3.09481684807553e-06,-0.366349694749148,-0.152200920009294,-0.368899720452435,1.36044634474028e-08,-0.490253338250267,-0.247546102654603,"positive","positive","negative"
"Galactosemia II ",-0.0982689609995051,0.0574014529909419,-0.199645697952206,0.00310777595319534,-0.255108044646946,0.000211810809528593,-0.388799179141685,-0.121416910152208,-0.139998808167956,0.0655996595270215,-0.289144363588159,0.00914674725224773,"no","no","negative"
"Galactosemia III",-0.0982689609995051,0.0574014529909419,-0.199645697952206,0.00310777595319534,-0.255108044646946,0.000211810809528593,-0.388799179141685,-0.121416910152208,-0.139998808167956,0.0655996595270215,-0.289144363588159,0.00914674725224773,"no","no","negative"
"gamma-Cystathionase Deficiency ",-0.145016602743483,0.00379705057301919,-0.242843224851704,-0.047189980635263,-0.0559966516245408,0.373876616062974,-0.17978119431144,0.0677878910623589,0.096482723683855,0.170955211001662,-0.0420882050287231,0.235053652396433,"negative","no","no"
"gamma-Glutamyltransferase Deficiency",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"gamma-Glutamyltranspeptidase Deficiency",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"Gaucher Disease",0.116922901945543,0.0317547904360174,0.0102776092821764,0.22356819460891,-0.271607706826322,0.00024487512935041,-0.415416967218206,-0.127798446434438,-0.397932524248507,7.6463545094452e-07,-0.550294121354985,-0.245570927142029,"no","positive","negative"
"Gentamicin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Globoid Cell Leukodystrophy",0.116922901945543,0.0317547904360174,0.0102776092821764,0.22356819460891,-0.271607706826322,0.00024487512935041,-0.415416967218206,-0.127798446434438,-0.397932524248507,7.6463545094452e-07,-0.550294121354985,-0.245570927142029,"no","positive","negative"
"Gluconeogenesis",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Glucose-6-phosphate Dehydrogenase Deficiency",-0.265350019850992,3.73237388532973e-08,-0.357802167122099,-0.172897872579886,-0.198657752740886,0.000890964687523081,-0.315023750299795,-0.0822917551819772,0.0738593160688275,0.291702429027354,-0.064059611090453,0.211778243228108,"negative","no","negative"
"Glucose-Alanine Cycle",-0.663559209084051,1.2480076795396e-44,-0.742057346143966,-0.585061072024136,-0.0735270791539693,0.199176324898688,-0.186008023701487,0.0389538653935485,0.605444771092817,2.25072463050675e-26,0.513345831847029,0.697543710338604,"negative","negative","no"
"GLUT-1 Deficiency Syndrome",0.305072512881674,3.20200612901307e-09,0.206675686446889,0.403469339316459,-0.25634786514632,0.000129084429569322,-0.386230510295521,-0.126465219997119,-0.543146813106181,1.09353104647186e-11,-0.688932564915826,-0.397361061296537,"positive","positive","negative"
"Glutamate Metabolism",-0.374420687122854,8.02888392384289e-33,-0.429040812509613,-0.319800561736095,-0.0767070351514197,0.0495769072255869,-0.153271119420699,-0.000142950882140308,0.316029086275747,3.35861762249219e-15,0.244885475141182,0.387172697410312,"negative","negative","no"
"Glutaminolysis and Cancer",-0.290878376706399,3.13929878698286e-23,-0.343876583811801,-0.237880169600998,-0.162919564258164,5.49992562656868e-06,-0.232047041980129,-0.0937920865361995,0.137452579168247,0.000201676637842842,0.0661742000305249,0.20873095830597,"negative","negative","negative"
"Glutaric Aciduria Type I",-0.322261336371996,3.76560987146698e-21,-0.384529643292767,-0.259993029451226,-0.208959528038767,5.72231279012745e-06,-0.297791843025415,-0.120127213052119,0.11124963014181,0.00379767757813309,0.036487675186195,0.186011585097425,"negative","negative","negative"
"Glutathione Metabolism",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"Glutathione Synthetase Deficiency",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"Glycerol Kinase Deficiency",-0.00475568715682979,0.916974770080633,-0.0944524454917242,0.0849410711780646,-0.0872859734311423,0.153030025775695,-0.207219014568239,0.0326470677059548,-0.0540044753863623,0.413587916916845,-0.184150997329432,0.0761420465567075,"no","no","no"
"Glycerol Phosphate Shuttle",-0.316584861840354,3.13698508308083e-09,-0.418633282031252,-0.214536441649455,-0.0683100563252894,0.320362077220844,-0.203412202314593,0.0667920896640142,0.269789045137034,0.000282885784946978,0.126401790592728,0.41317629968134,"negative","negative","no"
"Glycerolipid Metabolism",-0.00475568715682979,0.916974770080633,-0.0944524454917242,0.0849410711780646,-0.0872859734311423,0.153030025775695,-0.207219014568239,0.0326470677059548,-0.0540044753863623,0.413587916916845,-0.184150997329432,0.0761420465567075,"no","no","no"
"Glycine and Serine Metabolism",-0.268858752062275,1.55604190596487e-19,-0.32344167948569,-0.214275824638859,-0.085160054872912,0.0229699461040202,-0.158467937938359,-0.0118521718074652,0.174954878047603,2.10183473383534e-06,0.104900070575799,0.245009685519407,"negative","negative","no"
"Glycine N-Methyltransferase Deficiency",-0.153194820646098,1.20942774217355e-05,-0.220946143152618,-0.085443498139577,-0.0342303952024315,0.441464373398506,-0.121664588354491,0.0532037979496276,0.114643807827045,0.0196976607091516,0.0185485333243455,0.210739082329744,"negative","no","no"
"Glycogen Storage Disease Type 1A ",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Glycogen Synthetase Deficiency",0.162063297875901,8.29103293898921e-05,0.0821335729679131,0.24199302278389,-0.133757517753536,0.0107807940549973,-0.236313535264638,-0.0312015002424351,-0.285889793133398,2.48867422323604e-06,-0.401262788570252,-0.170516797696545,"positive","positive","no"
"Glycogenosis, Type IA. Von Gierke Disease",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Glycogenosis, Type IB",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Glycogenosis, Type IC",-0.322437452082974,4.86640495717262e-15,-0.399349208157584,-0.245525696008363,-0.206144570569706,5.70348620161305e-05,-0.305341674427692,-0.10694746671172,0.12967222169281,0.0198934774576622,0.020803844492265,0.238540598893355,"negative","no","negative"
"Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis",0.162063297875901,8.29103293898921e-05,0.0821335729679131,0.24199302278389,-0.133757517753536,0.0107807940549973,-0.236313535264638,-0.0312015002424351,-0.285889793133398,2.48867422323604e-06,-0.401262788570252,-0.170516797696545,"positive","positive","no"
"Glycogenosis, Type IV. Amylopectinosis, Anderson Disease",0.162063297875901,8.29103293898921e-05,0.0821335729679131,0.24199302278389,-0.133757517753536,0.0107807940549973,-0.236313535264638,-0.0312015002424351,-0.285889793133398,2.48867422323604e-06,-0.401262788570252,-0.170516797696545,"positive","positive","no"
"Glycogenosis, Type VI. Hers Disease",0.162063297875901,8.29103293898921e-05,0.0821335729679131,0.24199302278389,-0.133757517753536,0.0107807940549973,-0.236313535264638,-0.0312015002424351,-0.285889793133398,2.48867422323604e-06,-0.401262788570252,-0.170516797696545,"positive","positive","no"
"Glycogenosis, Type VII. Tarui Disease",-0.315212581075567,3.84684980215976e-12,-0.400962233135364,-0.229462929015769,-0.148842810706486,0.00917591483915739,-0.260494334232225,-0.0371912871807475,0.182282779930143,0.00388361326610506,0.0594784407969867,0.305087119063299,"negative","negative","negative"
"Glycolysis",-0.315212581075567,3.84684980215976e-12,-0.400962233135364,-0.229462929015769,-0.148842810706486,0.00917591483915739,-0.260494334232225,-0.0371912871807475,0.182282779930143,0.00388361326610506,0.0594784407969867,0.305087119063299,"negative","negative","negative"
"Gout or Kelley-Seegmiller Syndrome",-0.130841335635706,2.92634742973236e-05,-0.191515952695189,-0.0701667185762232,0.144435423375742,0.000520220830621071,0.0634991948410271,0.225371651910456,0.28689745724388,1.36208314014634e-10,0.204707987185374,0.369086927302386,"negative","negative","positive"
"Guanidinoacetate Methyltransferase Deficiency ",-0.169220895306476,5.26680514863332e-11,-0.218128328094752,-0.1203134625182,-0.172924122827083,5.41617219026019e-07,-0.239182393583438,-0.106665852070728,0.00108946185999417,0.971519403332993,-0.0591018144434542,0.0612807381634425,"negative","no","negative"
"Hawkinsinuria",-0.285219146429297,7.36240681116153e-15,-0.353757427075244,-0.21668086578335,-0.130518382453477,0.00611281204880486,-0.223493782072385,-0.0375429828345685,0.169822622198391,3.26080998186047e-05,0.0914898335889484,0.248155410807834,"negative","negative","negative"
"Hereditary Coproporphyria ",-0.657579932032959,2.62706059132273e-42,-0.738345748720594,-0.576814115345324,-0.291476592541191,8.99235998223182e-07,-0.405506689731086,-0.177446495351295,0.355711490769724,1.36469168874233e-08,0.238684081443949,0.472738900095498,"negative","negative","negative"
"Histidine Metabolism",-0.452483251430973,3.45998107332396e-30,-0.522212922259258,-0.382753580602687,-0.277622205855649,6.98581763559425e-08,-0.376106804055308,-0.17913760765599,0.193597832683602,6.70757415111725e-05,0.1003192877451,0.286876377622104,"negative","negative","negative"
"Histidinemia",-0.452483251430973,3.45998107332396e-30,-0.522212922259258,-0.382753580602687,-0.277622205855649,6.98581763559425e-08,-0.376106804055308,-0.17913760765599,0.193597832683602,6.70757415111725e-05,0.1003192877451,0.286876377622104,"negative","negative","negative"
"Homocarnosinosis",-0.374420687122854,8.02888392384289e-33,-0.429040812509613,-0.319800561736095,-0.0767070351514197,0.0495769072255869,-0.153271119420699,-0.000142950882140308,0.316029086275747,3.35861762249219e-15,0.244885475141182,0.387172697410312,"negative","negative","no"
"Homocysteine Degradation",-0.145016602743483,0.00379705057301919,-0.242843224851704,-0.047189980635263,-0.0559966516245408,0.373876616062974,-0.17978119431144,0.0677878910623589,0.096482723683855,0.170955211001662,-0.0420882050287231,0.235053652396433,"negative","no","no"
"Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type",-0.153194820646098,1.20942774217355e-05,-0.220946143152618,-0.085443498139577,-0.0342303952024315,0.441464373398506,-0.121664588354491,0.0532037979496276,0.114643807827045,0.0196976607091516,0.0185485333243455,0.210739082329744,"negative","no","no"
"Homocystinuria, Cystathionine beta-Synthase Deficiency",-0.145016602743483,0.00379705057301919,-0.242843224851704,-0.047189980635263,-0.0559966516245408,0.373876616062974,-0.17978119431144,0.0677878910623589,0.096482723683855,0.170955211001662,-0.0420882050287231,0.235053652396433,"negative","no","no"
"Hydrocodone Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Hydromorphone Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Hyper-IgD Syndrome",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Hypercholesterolemia",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
